t,params,num_params,num_time_steps,error_bound,error_bound_factor,error_grad,resid,fidelity,true_error,phase_agnostic_true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,variance,dtdt_trained,re_im_grad
0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],18,10,,,5.338485276005523e-07,2.209231107598286e-07,1.0,0.0,1e-06,,,0.2,0.2,0.0,,0.22750000000000004,0.18750000000000003,0.18750001364090085,0.18750000682030793
0.1,"[ 3.000000e-08  2.000000e-08  0.000000e+00  1.000000e-08 -0.000000e+00
  5.000000e-08  7.352700e-04  1.700530e-03 -2.553400e-04 -4.999999e-02
 -5.000002e-02 -5.000000e-02  1.000000e-08 -5.000000e-08  2.000000e-08
  5.524900e-04  1.697680e-03 -1.512190e-03]",18,10,,,1.7239683978894578e-06,3.2294978879613414e-07,0.99999965,0.01999216,0.00058949,,,0.2,0.19950964,-0.00049036,,0.22744765292142283,0.18764355576384226,0.1876435286373284,0.1876435421990993
0.2,"[ 6.000000e-08 -4.990000e-05 -4.998000e-05  2.000000e-08 -0.000000e+00
  2.000000e-08 -1.072881e-02 -9.263550e-03  7.154300e-04 -1.000000e-01
 -9.999997e-02 -9.999988e-02 -1.023130e-03 -1.909600e-03 -1.138390e-03
 -4.693400e-04  1.792460e-03 -2.775230e-03]",18,10,,,1.89686002295852e-05,2.3079103921108148e-07,0.9999985,0.04008252,0.00122426,,,0.2,0.19898263,-0.00101737,,0.22739220416704525,0.18779811765701435,0.18779809032671022,0.18779810381195838
0.30000000000000004,"[-1.8000000e-07 -2.4914000e-04 -2.4925000e-04 -3.0000000e-08
 -1.9800000e-06 -1.6000000e-07 -4.1728050e-02  1.2377839e-01
  1.3206445e-01 -1.4997922e-01 -1.4992486e-01 -1.4998460e-01
 -3.0760400e-03 -5.7584700e-03 -2.5980200e-03 -7.4486000e-04
  2.4343100e-03  4.0170900e-03]",18,10,,,2.1819489264838542e-05,2.4847672522047017e-07,0.9999969,0.06045452,0.00176079,,,0.2,0.19857162,-0.00142838,,0.2273525272605705,0.18792183800882623,0.1879217628991492,0.18792180021594265
0.4,"[-1.6500000e-06 -6.9513000e-04 -6.9488000e-04 -3.3000000e-07
  5.6270000e-05  6.0820000e-05  8.3068510e-02  2.4851408e-01
  2.5966919e-01 -1.9992878e-01 -1.9971838e-01 -1.9994411e-01
 -5.5651600e-03 -1.1031910e-02 -4.6966400e-03  2.9580700e-03
  6.5554200e-03  8.7056000e-03]",18,10,,,2.3199656816825086e-05,2.343228871778605e-07,0.99999509,0.08124558,0.00221564,,,0.2,0.19822732,-0.00177268,,0.22731080926922417,0.18801673724040394,0.1880169453105715,0.1880168410063757
0.5,"[-7.1300000e-06 -1.4672400e-03 -1.4654000e-03 -7.3000000e-07
  2.6382000e-04  2.7642000e-04  2.1196650e-01  3.7748758e-01
  3.9205405e-01 -2.4981658e-01 -2.4928908e-01 -2.4984438e-01
 -9.4244900e-03 -1.8518230e-02 -8.3907900e-03  3.0598800e-03
  7.6995200e-03  8.1630400e-03]",18,10,,,2.8584381375430262e-05,2.6361909640168423e-07,0.999992,0.10272165,0.00282793,,,0.2,0.19773225,-0.00226775,,0.22723688462047836,0.18813884128603398,0.18813877528263634,0.18813880787580173
0.6,"[-2.1480000e-05 -2.6180500e-03 -2.6129300e-03 -2.5000000e-07
  7.5074000e-04  7.6759000e-04  3.3661316e-01  5.0945208e-01
  5.1697229e-01 -2.9963832e-01 -2.9859317e-01 -2.9966948e-01
 -1.3959580e-02 -2.7600540e-02 -1.3086310e-02  4.5308700e-03
  1.0179140e-02  7.9559500e-03]",18,10,,,5.2166375342039244e-05,2.704550724386636e-07,0.99998839,0.12500083,0.00340799,,,0.2,0.19727324,-0.00272676,,0.22715497934008433,0.1882382480519248,0.18823820954819043,0.18823822743939225
0.7,"[-5.2280000e-05 -4.1627300e-03 -4.1570800e-03  4.0000000e-06
  1.6684400e-03  1.6781400e-03  4.6004594e-01  6.4127574e-01
  6.4289464e-01 -3.4936310e-01 -3.4753722e-01 -3.4940247e-01
 -1.9581440e-02 -3.8704910e-02 -1.8694650e-02  5.3972100e-03
  1.2009390e-02  8.2702900e-03]",18,10,,,0.00010608717121868787,3.043281691998545e-07,0.99998385,0.14829487,0.00401836,,,0.2,0.19680199,-0.00319801,,0.22705755333663302,0.1883265293561071,0.18832633721441364,0.18832642765801644
0.7999999999999999,"[-1.0888000e-04 -6.1304300e-03 -6.1168900e-03  1.8170000e-05
  3.0429800e-03  3.0707900e-03  5.8484147e-01  7.3820415e-01
  7.4280156e-01 -3.9900207e-01 -3.9610431e-01 -3.9902082e-01
 -2.5658420e-02 -5.1283390e-02 -2.5295740e-02  7.7293600e-03
  1.5078870e-02  8.7274200e-03]",18,10,,,0.00020566191239836261,3.645257932255237e-07,0.99997883,0.17268745,0.00460099,,,0.2,0.19636332,-0.00363668,,0.2269639120992869,0.18840535697284028,0.1884055209427478,0.18840541780938294
0.8999999999999999,"[-2.0209000e-04 -8.4956200e-03 -8.4608900e-03  5.3970000e-05
  5.0598200e-03  5.1228600e-03  7.0876326e-01  8.3357102e-01
  8.4294460e-01 -4.4852699e-01 -4.4435671e-01 -4.4856042e-01
 -3.2522640e-02 -6.4454040e-02 -3.1955570e-02  1.0218860e-02
  2.1098580e-02  1.1566170e-02]",18,10,,,0.0003670029575947203,1.9259880152356828e-07,0.99997386,0.19816448,0.00511257,,,0.2,0.19599562,-0.00400438,,0.22686032009755644,0.1884460369141,0.18844580456564064,0.18844585339428488
