t,params,num_params,num_time_steps,error_bound,error_bound_factor,error_grad,resid,fidelity,true_error,phase_agnostic_true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,variance,dtdt_trained,re_im_grad
0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],18,10,,,0.011542002748267884,0.005771001374131198,1.0,0.0,1e-06,,,0.2,0.2,0.0,,0.22750000000000004,0.18750000000000003,0.17890988310592315,0.18313833263924106
0.1,"[ 0.00037568  0.00037568  0.00037568  0.00037568  0.00037568  0.00037568
  0.          0.          0.         -0.04883689 -0.04883689 -0.04883689
  0.00037568  0.00037568  0.00037568  0.          0.          0.        ]",18,10,,,0.011424888314766957,0.0057134391995945725,0.99999792,0.02000779,0.00144078,,,0.2,0.19924164,-0.00075836,,0.2275071477069886,0.18780991725623675,0.1792035874063795,0.1834414882948057
0.2,"[ 7.421300e-04  6.877400e-04  6.877400e-04  7.443400e-04  7.515000e-04
  7.515000e-04  0.000000e+00  2.000000e-08  2.000000e-08 -9.769049e-02
 -9.769854e-02 -9.769049e-02 -2.318600e-04 -1.190060e-03 -2.318600e-04
  4.807000e-05  9.493000e-05  4.807000e-05]",18,10,,,0.011323687849894105,0.005663783924111073,0.9999918,0.04005375,0.00286396,,,0.2,0.19851142,-0.00148858,,0.2275149344229032,0.18810814969582737,0.1794837583242966,0.18373184105680107
0.30000000000000004,"[ 1.1012500e-03  8.4291000e-04  8.4291000e-04  1.1085200e-03
  1.1222500e-03  1.1222500e-03  0.0000000e+00  1.6000000e-07
  1.6000000e-07 -1.4654083e-01 -1.4650868e-01 -1.4654083e-01
 -1.8109900e-03 -4.6777700e-03 -1.8109900e-03  1.9165000e-04
  3.7896000e-04  1.9165000e-04]",18,10,,,0.011238014333021136,0.005621737349766166,0.99998176,0.06032722,0.00427118,,,0.2,0.19780939,-0.00219061,,0.22752416613561066,0.18839561305531521,0.17975093751483312,0.18401012880199957
0.4,"[ 1.4535500e-03  7.4944000e-04  7.4944000e-04  1.4711400e-03
  1.4726500e-03  1.4726500e-03  1.0000000e-08  5.6000000e-07
  5.6000000e-07 -1.9536838e-01 -1.9519328e-01 -1.9536838e-01
 -4.3451900e-03 -1.0055690e-02 -4.3451900e-03  4.7767000e-04
  9.4561000e-04  4.7767000e-04]",18,10,,,0.011168336956263684,0.005587417651628046,0.99996792,0.08101306,0.00566408,,,0.2,0.19713562,-0.00286438,,0.22753559503124712,0.18867314334991947,0.18000483023920016,0.1842766209193755
0.5,"[ 1.7976000e-03  3.1891000e-04  3.1891000e-04  1.8352100e-03
  1.7774900e-03  1.7774900e-03  4.0000000e-08  1.4300000e-06
  1.4300000e-06 -2.4415408e-01 -2.4368182e-01 -2.4415408e-01
 -7.8128000e-03 -1.7279260e-02 -7.8128000e-03  9.5275000e-04
  1.8878400e-03  9.5275000e-04]",18,10,,,0.011114166604218286,0.005560465697575681,0.99995038,0.10228943,0.00704433,,,0.2,0.19649031,-0.00350969,,0.22754988996669254,0.18894144811202335,0.18024568654362427,0.18453180497817065
0.6,"[ 2.1294700e-03 -5.3217000e-04 -5.3217000e-04  2.2035200e-03
  2.0017300e-03  2.0017300e-03  9.0000000e-08  3.0100000e-06
  3.0100000e-06 -2.9287959e-01 -2.9190871e-01 -2.9287959e-01
 -1.2186900e-02 -2.6290600e-02 -1.2186900e-02  1.6633100e-03
  3.2977200e-03  1.6633100e-03]",18,10,,,0.011075540040228832,0.005540800947050172,0.99992921,0.12432552,0.00841349,,,0.2,0.19587383,-0.00412617,,0.22756758010608702,0.18920102449894527,0.18047312886167324,0.1847757428867179
0.7,"[ 2.4424100e-03 -1.8806200e-03 -1.8806200e-03  2.5781400e-03
  2.1008300e-03  2.1008300e-03  2.0000000e-07  5.6600000e-06
  5.6600000e-06 -3.4152747e-01 -3.3981466e-01 -3.4152747e-01
 -1.7434900e-02 -3.7017730e-02 -1.7434900e-02  2.6554900e-03
  5.2658100e-03  2.6554900e-03]",18,10,,,0.011052009641224131,0.005528106270342024,0.99990449,0.14727935,0.00977303,,,0.2,0.19528672,-0.00471328,,0.2275889912425184,0.18945208638682598,0.18068691885221255,0.1850084291609644
0.7999999999999999,"[ 2.7267700e-03 -3.7949400e-03 -3.7949400e-03  2.9598200e-03
  2.0211900e-03  2.0211900e-03  4.0000000e-07  9.8300000e-06
  9.8300000e-06 -3.9008147e-01 -3.8734807e-01 -3.9008147e-01
 -2.3518220e-02 -4.9374000e-02 -2.3518220e-02  3.9751500e-03
  7.8799600e-03  3.9751500e-03]",18,10,,,0.011044014041185905,0.005522437580993447,0.99987626,0.17129559,0.01112421,,,0.2,0.19472979,-0.00527021,,0.22761416716216096,0.18969447791834634,0.1808859543507004,0.18522923101145242
0.8999999999999999,"[ 2.9701900e-03 -6.3336400e-03 -6.3336400e-03  3.3474200e-03
  1.7007600e-03  1.7007600e-03  7.3000000e-07  1.6170000e-05
  1.6170000e-05 -4.3852678e-01 -4.3446637e-01 -4.3852678e-01
 -3.0391840e-02 -6.3257820e-02 -3.0391840e-02  5.6675400e-03
  1.1223870e-02  5.6675400e-03]",18,10,,,0.011052216543555184,0.005523690232598023,0.99984455,0.1965035,0.01246823,,,0.2,0.194204,-0.005796,,0.22764279330934298,0.18992760151938193,0.18106904652492495,0.18543724827689062
