t,params,num_params,num_time_steps,error_bound,error_bound_factor,error_grad,resid,fidelity,true_error,phase_agnostic_true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,variance,dtdt_trained,re_im_grad
0,"[ 5.12065500e-02  1.22562360e-01 -6.70631280e-01  5.08760200e-02
  3.25997400e-02  1.92158400e-02  1.66097600e-01  2.72740300e-02
  5.63080000e-04 -7.09539700e-01 -8.62283620e-01 -9.91696900e-02
 -1.92514850e-01  3.08763170e-01  3.83842300e-02 -5.90699800e-02
 -8.43130700e-02  1.31088520e-01 -5.94304400e-02  5.88663700e-02
  1.27121720e-01  5.75008200e-02 -2.82536500e-02  4.93581900e-02
  1.14083460e-01  1.73757626e+00  1.66688659e+00  1.64615613e+00
  1.59983932e+00  1.64257726e+00]",30,25,,,0.20743767966321763,5.339784966558332e-16,1.0,0.0,1e-06,,,2.44200068,2.44200068,-0.0,,7.1091176309786555,1.1457503337517956,1.1027199428077343,-1.1027199428077339
0,"[ 5.12065500e-02  1.22562360e-01 -6.70631280e-01  5.08760200e-02
  3.25997400e-02  1.92158400e-02  1.66097600e-01  2.72740300e-02
  5.63080000e-04 -7.09539700e-01 -8.62283620e-01 -9.91696900e-02
 -1.92514850e-01  3.08763170e-01  3.83842300e-02 -5.90699800e-02
 -8.43130700e-02  1.31088520e-01 -5.94304400e-02  5.88663700e-02
  1.27121720e-01  5.75008200e-02 -2.82536500e-02  4.93581900e-02
  1.14083460e-01  1.73757626e+00  1.66688659e+00  1.64615613e+00
  1.59983932e+00  1.64257726e+00]",30,25,,,0.7772959686627976,0.038229594800630026,1.0,0.0,1e-06,,,-0.9731005,-0.9731005,0.0,,1.872275385944492,0.9253508119166804,0.321161789017244,-0.3211617890172438
0.4,"[-2.99636400e-02 -7.31282800e-02 -7.43794600e-01  2.27373070e-01
 -4.31062300e-02 -2.10533140e-01  9.78427500e-02  3.39345300e-02
  2.78773290e-01 -7.49749340e-01 -1.15027157e+00 -2.55634020e-01
 -2.21252630e-01  5.18562620e-01  1.79966890e-01 -1.91713730e-01
 -1.65428590e-01 -1.04719250e-01 -2.22615000e-02  5.76531220e-01
  1.71398320e-01 -8.59525500e-02 -2.39478500e-02 -5.21540000e-04
  8.20639100e-02  1.79375964e+00  1.84021328e+00  1.55490103e+00
  1.40196429e+00  1.43026039e+00]",30,25,,,0.4403542636804158,0.035946513177634275,0.92767185,0.27145081,0.27145081,,,-1.56319124,-1.1848144,0.37837684,,2.2040959630962154,0.8003107997598133,0.6063989222182926,-0.6063989222182924
0.8,"[-0.40829072 -0.11335135 -0.8436266   0.34390474 -0.51037833 -0.08139795
  0.04444651  0.08693537  0.42788105 -0.67417783 -1.3284754  -0.23176348
 -0.50359401  0.71652549  0.46345704 -0.26255351 -0.3853676  -0.10471825
 -0.28847756  1.24036922  0.26900591 -0.42733193 -0.05502263  0.14477853
  0.04305003  1.66499721  1.79613302  2.40306807  0.94166709  1.2947531 ]",30,25,,,0.1479176687582833,0.005749219929652783,0.90562828,0.3109822,0.3109822,,,-1.83784879,-1.61733338,0.22051541,,3.092653512943496,0.4768862545288455,0.4550066177979608,-0.45500661779796053
1.2000000000000002,"[-0.62367404  0.12791008 -0.80319105  0.35451694 -0.56919877  0.18540149
  0.147665    0.30380416  0.58823828 -0.8007872  -1.46135077 -0.22029626
 -0.54199953  0.80388767  0.51917292  0.06391426 -0.24802837  0.01253243
 -0.21079911  1.13915753  0.00545457 -0.45219204 -0.2531857   0.17583285
  0.22707435  1.56888722  1.90438135  2.42093148  0.96741094  1.32071198]",30,25,,,0.11220995531089678,0.005412036178433225,0.93540385,0.25627022,0.25627022,,,-1.93819733,-1.83571234,0.10248499,,3.5478030997462557,0.17796331128397913,0.16537223721310584,-0.16537223721310576
1.6,"[-0.71200964  0.01267959 -0.66317487  0.4397586  -0.4445851   0.08059004
  0.02773371  0.19803446  0.82901398 -0.81190187 -1.53659464  0.04313522
 -0.51705346  0.65597925  0.62362943  0.06568255 -0.03566193 -0.02268907
 -0.23799575  1.32450349 -0.040621   -0.51023269 -0.16957295  0.26760468
  0.15108897  1.80400938  1.70430991  2.29323471  0.82908309  1.57416865]",30,25,,,0.06297203062210137,0.004415939487556839,0.96031181,0.20022484,0.20022484,,,-1.97485657,-1.93593194,0.03892462,,3.8194048434991825,0.07157234842521243,0.06760687178454076,-0.06760687178454072
2.0,"[-8.00298080e-01 -1.48335000e-03 -5.74855360e-01  4.76963830e-01
 -3.75422520e-01 -3.98333400e-02 -7.18586600e-02  2.49937410e-01
  9.02784480e-01 -8.08390670e-01 -1.58359640e+00  1.38195150e-01
 -4.66185570e-01  5.48862230e-01  6.52434570e-01  8.12438800e-02
  4.02286300e-02  2.07263500e-02 -1.89784320e-01  1.29494918e+00
  1.18582800e-02 -4.94538230e-01 -1.66023890e-01  2.46787580e-01
  1.74013080e-01  1.87201291e+00  1.63896665e+00  2.22470059e+00
  8.38360320e-01  1.65104446e+00]",30,25,,,0.05747559411967755,0.004067124332195869,0.97262985,0.16601217,0.16601217,,,-1.98926678,-1.97577386,0.01349292,,3.9310674500769154,0.027385108927642676,0.02408166500823275,-0.024081665008232757
2.4,"[-0.88012499  0.01930701 -0.49661014  0.50923326 -0.28197184 -0.0049186
 -0.01124823  0.24375891  0.94009128 -0.8010329  -1.52473333  0.19603374
 -0.40173198  0.47903902  0.6687403   0.08774071  0.01438079  0.07871658
 -0.15555208  1.27477586  0.00672539 -0.47753891 -0.17868186  0.25137378
  0.18256872  1.93612861  1.67261485  2.16200002  0.83065213  1.68157021]",30,25,,,0.04922220748304028,0.0034681159954727384,0.97679082,0.15279211,0.15279211,,,-1.9952942,-1.98962841,0.00566579,,3.9715134572953636,0.012892244784354467,0.010469419074850994,-0.010469419074850998
2.8,"[-0.96945179  0.01772381 -0.42540912  0.5306676  -0.21539415 -0.03531845
 -0.05907198  0.23156367  0.93710341 -0.81025531 -1.57994688  0.22758169
 -0.3510198   0.41876537  0.68147044  0.09061251  0.04124835  0.05946425
 -0.15861827  1.21509129  0.0136388  -0.47790953 -0.2039847   0.27677938
  0.21005466  1.99865528  1.61142134  2.14391234  0.86267126  1.6840375 ]",30,25,,,0.05297826515103828,0.0036360302347643826,0.97855786,0.14682756,0.14682756,,,-1.99790943,-1.99510588,0.00280355,,3.9879672654141145,0.0075197949473060355,0.00471309836889144,-0.004713098368891435
3.1999999999999997,"[-1.02652059  0.01628729 -0.39966512  0.53665507 -0.17359937 -0.0118023
 -0.02162324  0.23312286  0.93591344 -0.82322028 -1.52948278  0.24208601
 -0.31272471  0.38088899  0.700348    0.08953076  0.02309023  0.09112928
 -0.14863808  1.18807333  0.00277966 -0.47088944 -0.19873199  0.2825751
  0.20356106  2.02057318  1.64252939  2.12997475  0.87024155  1.7075644 ]",30,25,,,0.045510654256023284,0.002894715581721515,0.9798197,0.14241892,0.14241892,,,-1.99906549,-1.99742086,0.00164463,,3.993863118133107,0.004173010004715039,0.0021017903539037445,-0.0021017903539037462
3.5999999999999996,"[-1.07177935  0.02373628 -0.37060444  0.54419206 -0.14795183 -0.02458881
 -0.04297375  0.23029751  0.92784234 -0.82637591 -1.55724802  0.25167402
 -0.29251244  0.34786014  0.70212504  0.09054995  0.03359394  0.08408322
 -0.15989732  1.14281046  0.01189139 -0.47560721 -0.20707702  0.30333169
  0.21250173  2.0471367   1.61487818  2.14224052  0.89734955  1.70418257]",30,25,,,0.04685190769433048,0.0028730619369290145,0.98054741,0.13981461,0.13981461,,,-1.99958108,-1.99837457,0.0012065,,3.996616613416105,0.0031156721493572626,0.0009205708947591987,-0.0009205708947591988
3.9999999999999996,"[-1.09346419  0.02167101 -0.35910837  0.54642125 -0.13407496 -0.00958535
 -0.02350781  0.23193721  0.92763151 -0.82953183 -1.54422445  0.25729566
 -0.28080718  0.32914157  0.70775661  0.08661316  0.02538714  0.08837954
 -0.16056903  1.12461073  0.00311339 -0.47734046 -0.2101241   0.31215648
  0.21443813  2.0573288   1.62036682  2.14486147  0.9051185   1.70481189]",30,25,,,0.045039019758393056,0.002576718884899543,0.98113928,0.13766081,0.13766081,,,-1.99981196,-1.99881331,0.00099865,,3.997633143389377,0.002378496684785514,0.00034998338398859466,-0.00034998338398859407
4.3999999999999995,"[-1.10988473  0.02473686 -0.35271185  0.54784653 -0.12473823 -0.01516756
 -0.03157771  0.23196308  0.92688011 -0.83082915 -1.54485377  0.26235251
 -0.27394714  0.31460133  0.70818074  0.08768643  0.02995776  0.09396807
 -0.16245173  1.11038714  0.00817124 -0.47799541 -0.20761493  0.31844114
  0.21239632  2.06448875  1.61971652  2.14754237  0.91039859  1.71063441]",30,25,,,0.044125013879072854,0.0024641403134085097,0.98164654,0.13578825,0.13578825,,,-1.99991555,-1.99899036,0.00092519,,3.9980572719737855,0.0020947949516867403,0.00014777810185836858,-0.00014777810185836847
