t,params,num_params,num_time_steps,error_bound,error_bound_factor,error_grad,resid,fidelity,true_error,phase_agnostic_true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,variance,dtdt_trained,re_im_grad
0,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.57079633 1.57079633 1.57079633 1.57079633 1.57079633]",30,25,,,0.8660322768655583,0.0017251502067415555,1.0,0.0,1e-06,,,-0.0,-0.0,0.0,,1.4999999999999998,1.4999999999999998,0.7440358089554144,-0.7470119521912355
0.4,"[ 0.          0.         -0.39840637 -0.         -0.          0.
 -0.         -0.          0.         -0.39840637 -0.39840637 -0.
  0.          0.          0.          0.         -0.         -0.
  0.          0.         -0.          0.          0.          0.
  0.          1.57079633  1.57079633  1.57079633  1.57079633  1.57079633]",30,25,,,0.7438674557836464,0.0013803806920440653,0.90711309,0.30846443,0.30846443,,,-0.99789795,-0.55154095,0.446357,,1.3505106332192836,1.0463132169980593,0.4891635235140892,-0.49106897436905667
0.8,"[-0.00000000e+00 -7.45400000e-05 -6.76888270e-01 -0.00000000e+00
  0.00000000e+00 -0.00000000e+00  2.73637000e-02 -0.00000000e+00
 -0.00000000e+00 -6.76888270e-01 -7.65609730e-01 -1.23178800e-02
  0.00000000e+00  8.12369700e-02  0.00000000e+00 -2.98982200e-02
  0.00000000e+00  0.00000000e+00 -0.00000000e+00 -0.00000000e+00
  8.08432000e-02  0.00000000e+00  1.52500000e-04  0.00000000e+00
  0.00000000e+00  1.57079633e+00  1.57079633e+00  1.57079633e+00
  1.57079633e+00  1.57079633e+00]",30,25,,,0.7837243916479325,0.0010355354059998793,0.74854294,0.51926148,0.51926148,,,-1.58548183,-0.87231098,0.71317085,,1.618872722036845,0.8579462684024117,0.24157767918433132,-0.24265001276141066
1.2000000000000002,"[ 0.00000000e+00 -5.54710000e-04 -7.62027000e-01 -0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00380690e-01 -0.00000000e+00
  0.00000000e+00 -7.66549070e-01 -1.05976990e+00 -1.09639540e-01
 -0.00000000e+00  2.80819410e-01 -0.00000000e+00 -1.20574320e-01
  0.00000000e+00 -0.00000000e+00 -0.00000000e+00  0.00000000e+00
  1.62023580e-01  0.00000000e+00 -1.46962100e-02 -0.00000000e+00
 -9.28648000e-03  1.57079633e+00  1.57079633e+00  1.57079633e+00
  1.57079633e+00  1.57079633e+00]",30,25,,,0.7990139749071937,0.0010071354330924121,0.64184066,0.63063525,0.63063525,,,-1.8365685,-1.03837287,0.79819563,,1.8840569493787274,0.8058387259708542,0.1653867503126794,-0.1664010720932699
1.6,"[ 0.          0.04550763 -0.78022924 -0.          0.         -0.
  0.18645072 -0.         -0.         -0.72514314 -1.27335605 -0.26525986
  0.          0.55678236  0.         -0.15694462  0.         -0.
 -0.         -0.          0.18213372 -0.         -0.06671649  0.
 -0.02632531  1.57079633  1.57079633  1.57079633  1.57079633  1.57079633]",30,25,,,0.7483819419839421,0.0010205695386441844,0.58614236,0.68469067,0.68469067,,,-1.9329253,-1.16480877,0.76811653,,2.0765157680788726,0.7197362900650353,0.1575776346109618,-0.15861919679417028
2.0,"[ 0.00000000e+00  1.06368440e-01 -7.95690130e-01 -0.00000000e+00
  0.00000000e+00  0.00000000e+00  2.31543600e-01 -0.00000000e+00
  0.00000000e+00 -5.74451490e-01 -1.41550057e+00 -4.41756610e-01
  0.00000000e+00  8.35297470e-01 -0.00000000e+00 -1.10041130e-01
  0.00000000e+00 -0.00000000e+00  0.00000000e+00 -0.00000000e+00
  1.22777290e-01  1.00000000e-08 -1.24083220e-01 -0.00000000e+00
 -2.13626100e-02  1.57079633e+00  1.57079632e+00  1.57079632e+00
  1.57079633e+00  1.57079633e+00]",30,25,,,0.64589492981863,0.0009101678798778097,0.5609049,0.70861012,0.70861012,,,-1.97129477,-1.29367368,0.67762108,,2.2391511195605234,0.5655595166874257,0.14672244518289007,-0.14755085075245125
2.4,"[ 7.00000000e-08  1.43390950e-01 -8.18504080e-01 -1.00000000e-08
  8.00000000e-08 -1.00000000e-08  2.18057470e-01  0.00000000e+00
 -7.00000000e-08 -3.84863070e-01 -1.49746324e+00 -5.89707660e-01
 -1.00000000e-08  1.07068685e+00 -7.00000000e-08 -4.69508300e-02
  4.00000000e-08 -0.00000000e+00  8.00000000e-08 -1.50000000e-07
  5.24177200e-02  5.00000000e-08 -1.51144630e-01  2.00000000e-08
  7.78150000e-03  1.57079634e+00  1.57079630e+00  1.57079619e+00
  1.57079642e+00  1.57079637e+00]",30,25,,,0.5638311693338154,0.0006359430726615613,0.54751171,0.72119298,0.72119298,,,-1.98740373,-1.40216038,0.58524336,,2.371264230212583,0.40521050862020513,0.08649607392453487,-0.08690049751620119
2.8,"[ 1.07000000e-06  1.58748560e-01 -8.34584610e-01 -9.00000000e-08
  2.00000000e-07  1.70000000e-07  2.14147030e-01 -5.00000000e-07
 -1.57000000e-06 -2.32629390e-01 -1.54141404e+00 -6.73092320e-01
  8.60000000e-07  1.24751446e+00 -9.50000000e-07 -3.10717700e-02
  9.30000000e-07  2.80000000e-07  2.48000000e-06 -3.55000000e-06
  2.82631200e-02  2.41000000e-06 -1.48307690e-01 -8.30000000e-07
  1.29424500e-02  1.57079557e+00  1.57079523e+00  1.57079354e+00
  1.57080005e+00  1.57079767e+00]",30,25,,,0.5245397342898578,0.0004000570580635177,0.53513342,0.73276444,0.73276444,,,-1.99440214,-1.46071132,0.53369081,,2.4464152507033425,0.3127376822734891,0.03727565812520149,-0.03743570377490799
3.1999999999999997,"[ 1.19600000e-05  1.61784230e-01 -8.39957660e-01  4.90000000e-07
 -1.17700000e-05  3.14000000e-06  2.16278280e-01  2.33000000e-06
 -3.93700000e-05 -1.37366780e-01 -1.56127145e+00 -7.05296220e-01
  1.13300000e-05  1.36922550e+00 -4.51000000e-06 -2.40079000e-02
  1.65400000e-05  9.26000000e-06  4.68100000e-05 -5.60300000e-05
  1.80455500e-02  2.86800000e-05 -1.43740750e-01 -7.39000000e-06
  4.60259000e-03  1.57077436e+00  1.57077412e+00  1.57074547e+00
  1.57087752e+00  1.57082481e+00]",30,25,,,0.5090455163898607,0.00024401704762640195,0.52450155,0.7426644,0.7426644,,,-1.99749733,-1.48514716,0.51235017,,2.4793713643933075,0.27370926684123775,0.014462840445553236,-0.01452238476508552
3.5999999999999996,"[ 1.33300000e-05  1.62477740e-01 -8.40420080e-01  7.38600000e-05
 -3.97970000e-04  5.14300000e-05  2.15621840e-01  6.56900000e-05
 -7.33950000e-04 -8.18767700e-02 -1.56709086e+00 -7.15216850e-01
  1.61560000e-04  1.44777642e+00 -8.64600000e-05 -1.51208300e-02
  2.34370000e-04  1.52660000e-04  7.51870000e-04 -7.38860000e-04
  1.05125200e-02  1.77910000e-04 -1.44124230e-01 -9.17900000e-05
  2.68384000e-03  1.57066019e+00  1.57046197e+00  1.56984420e+00
  1.57227185e+00  1.57119617e+00]",30,25,,,0.5032878852885228,0.00017261835018394264,0.51636756,0.75021704,0.75021704,,,-1.99887803,-1.49452379,0.50435424,,2.492358410213842,0.2587570449559147,0.005398755288080916,-0.005428552382901149
