t,params,num_params,num_time_steps,error_bound,error_bound_factor,error_grad,resid,fidelity,true_error,phase_agnostic_true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,variance,dtdt_trained,re_im_grad
0,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.57079633 1.57079633 1.57079633 1.57079633 1.57079633]",30,25,,,1.0170603952754267,0.3488359349696851,1.0,0.0,1e-06,,,-0.0,-0.0,0.0,,1.4999999999999998,1.4999999999999998,0.5585661757411233,-0.5120771640516578
0.4,"[ 0.03349513  0.09289344 -0.27310782  0.04960919  0.03349513  0.03349513
  0.04960919  0.04960919  0.04960919 -0.27310782 -0.27310782  0.04960919
  0.03349513  0.04960919  0.04960919  0.04960919  0.04960919  0.04960919
  0.03349513  0.03349513  0.04960919  0.04960919  0.04960919  0.09289344
  0.09289344  1.62040552  1.60429146  1.60429146  1.60429146  1.66368977]",30,25,,,0.9927904132935144,0.33099512659793107,0.8740651,0.36079222,0.36079222,,,-0.99789795,-0.33247117,0.66542678,,1.662198322948737,1.5516612461787065,0.3875529071908591,-0.4767906743210293
0.8,"[ 0.04610347  0.17543223 -0.51002335  0.05543433  0.02064462  0.02372524
  0.09392709  0.04552167  0.04663323 -0.52417086 -0.57440831  0.01113226
 -0.0549424   0.11184302  0.04789052  0.06884481 -0.03217106  0.06823392
  0.01931611  0.04066281  0.13958629  0.05327164  0.04751178  0.07337623
  0.13267055  1.69924834  1.6442675   1.61493495  1.63214818  1.69778941]",30,25,,,0.8743858312267885,0.14930796102267824,0.71412415,0.55667106,0.55667106,,,-1.58548183,-0.675758,0.90972383,,1.758688539387566,1.3020396614964458,0.3667541525209375,-0.4521216160836107
1.2000000000000002,"[ 5.12065500e-02  1.22562360e-01 -6.70631280e-01  5.08760200e-02
  3.25997400e-02  1.92158400e-02  1.66097600e-01  2.72740300e-02
  5.63080000e-04 -7.09539700e-01 -8.62283620e-01 -9.91696900e-02
 -1.92514850e-01  3.08763170e-01  3.83842300e-02 -5.90699800e-02
 -8.43130700e-02  1.31088520e-01 -5.94304400e-02  5.88663700e-02
  1.27121720e-01  5.75008200e-02 -2.82536500e-02  4.93581900e-02
  1.14083460e-01  1.73757626e+00  1.66688659e+00  1.64615613e+00
  1.59983932e+00  1.64257726e+00]",30,25,,,0.8150201068230384,0.08872153610718195,0.62698546,0.64525323,0.64525323,,,-1.8365685,-0.97310049,0.86346801,,1.872275386348922,0.925350814583089,0.21716130943823728,-0.2391271747477447
1.6,"[ 0.05817594  0.12372412 -0.71658177  0.09218887  0.02913485  0.02706811
  0.18721969  0.02743039  0.00487527 -0.70746317 -1.11565635 -0.21091577
 -0.24436414  0.51747393  0.06268399 -0.10225678 -0.05725639  0.18346012
 -0.0834865   0.14833055  0.19966356  0.0859853  -0.10866095  0.03753092
  0.11669439  1.73725791  1.67979814  1.6519678   1.56625166  1.62207201]",30,25,,,0.744142777304281,0.0632986210616401,0.58013259,0.69041386,0.69041386,,,-1.9329253,-1.14784058,0.78508472,,2.1216793134961485,0.8041413184407362,0.18078834737514213,-0.2155905964008748
2.0,"[ 5.47431000e-02  1.31305340e-01 -7.45331580e-01  1.47034110e-01
 -1.67167500e-02 -1.09981900e-02  1.92808870e-01  4.49922600e-02
  5.16709000e-02 -6.17296220e-01 -1.29292708e+00 -3.69708250e-01
 -3.58014330e-01  7.70286690e-01  9.75889300e-02 -1.19306570e-01
 -5.69873600e-02  1.70403020e-01 -1.28496700e-01  2.54914740e-01
  1.91564820e-01  9.83466800e-02 -1.59190700e-01  3.86300000e-05
  1.20920830e-01  1.70302987e+00  1.69194841e+00  1.72156677e+00
  1.53401663e+00  1.58842159e+00]",30,25,,,0.6336310084118214,0.06473297427748378,0.56632881,0.70349384,0.70349384,,,-1.97129477,-1.3193828,0.65191197,,2.383153469644512,0.6423824993493961,0.16589275177362667,-0.2033934981510205
2.4,"[ 0.04158339  0.16308378 -0.77377472  0.19109945 -0.07099719 -0.04021785
  0.18146411  0.09774473  0.09872516 -0.47877165 -1.38725268 -0.4912067
 -0.46067848  0.98644777  0.15635489 -0.09710689 -0.06061885  0.1688426
 -0.15096556  0.35069714  0.16396404  0.12002214 -0.18370504 -0.03465537
  0.14498815  1.64236568  1.69345603  1.80512711  1.47591476  1.57379166]",30,25,,,0.5012120959780912,0.053834614018580376,0.56884656,0.70111458,0.70111458,,,-1.98740373,-1.48350293,0.5039008,,2.6843039943610782,0.4835230371146553,0.17643600260894945,-0.20437273728442668
2.8,"[ 0.01848997  0.19448069 -0.79498774  0.22612826 -0.12142168 -0.05416533
  0.17270247  0.19517496  0.17889314 -0.37903992 -1.41784111 -0.55607495
 -0.56581151  1.15803517  0.24015592 -0.06039501 -0.0727457   0.19745337
 -0.14028084  0.43779663  0.14705277  0.15590899 -0.19727928 -0.07681065
  0.18454909  1.53183266  1.70892276  1.90310158  1.37123126  1.57934659]",30,25,,,0.37992139079179627,0.04375768972638817,0.59075557,0.68028487,0.68028487,,,-1.99440214,-1.64420292,0.35019921,,3.044088638557643,0.34068538784011615,0.16864235282910112,-0.18249373874402225
3.1999999999999997,"[-0.01327473  0.20669531 -0.79932209  0.26007554 -0.14500466 -0.05955532
  0.17130156  0.30390904  0.27761198 -0.35748516 -1.42741004 -0.57344535
 -0.66898335  1.25165317  0.32549936 -0.02922339 -0.08871732  0.24033627
 -0.09240107  0.49964515  0.14209226  0.21067488 -0.21541622 -0.14709982
  0.22128845  1.40772121  1.74457894  1.96531161  1.2513811   1.59452122]",30,25,,,0.329179106569804,0.03982750397463587,0.62499875,0.64719607,0.64719607,,,-1.99749733,-1.77884021,0.21865712,,3.3941007583564318,0.2298282770526221,0.11013960952098747,-0.11580450118575804
3.5999999999999996,"[-0.05671515  0.2180422  -0.80501294  0.31038969 -0.1350535  -0.0555492
  0.15598801  0.34603348  0.3210109  -0.36885852 -1.43392687 -0.55731192
 -0.76235069  1.28125394  0.38322733 -0.0199042  -0.0930947   0.2622774
 -0.06821834  0.5099182   0.14043565  0.26105839 -0.21878619 -0.22775459
  0.23625804  1.36632463  1.76615606  1.98907533  1.21814957  1.59825379]",30,25,,,0.3100398229459718,0.04134144139238391,0.63619753,0.63620765,0.63620765,,,-1.99887803,-1.86109585,0.13778219,,3.628704209278972,0.16502646356548878,0.05956241313265251,-0.06423209244288587
