t,params,num_params,num_time_steps,error_bound,error_grad,resid,fidelity,true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,variance,dtdt_trained,re_im_grad
0.0,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,0.013949339414509931,0.007590133413608717,1.0,0.0,0.0,0.0,0j,0j,0j,5.273163042697021,19.000000000000004,(19.000000000000004+0j),18.884585165457132,-18.94219529069352
0.1,"[0.59760956 0.2994012  0.         0.         1.76999951 1.87019752
 0.         0.        ]",8,10,,0.00898390620931971,0.004992769354943597,0.99395251,0.07782457,0.10923187561559991,0.10606205457919186,(-3.11707499+0j),(-3.25045658+0j),(-0.13338159+0j),5.273163042697021,19.322545292707925,(8.757077344008694+8.205305972698868e-29j),8.707141141774581,-8.73206888760625
0.2,"[ 0.95580913  0.5110207   0.         -0.          1.71381314  2.14043965
 -0.          0.        ]",8,10,,0.006370885652054374,0.003035922185678207,0.98943525,0.10292133,0.14965902678633666,0.14541770225354306,(-4.45324844+0j),(-4.50372847-0j),(-0.05048003-0j),5.273163042697021,22.85611798268487,(2.5725478455798125-3.5528153182057297e-29j),2.5540736103608426,-2.5632904338783318
0.30000000000000004,"[ 1.1254604   0.47744158  0.         -0.          1.56345005  2.3395629
 -0.          0.        ]",8,10,,0.004044719279574982,0.00200396690403216,0.99699963,0.05479622,0.14351358051602567,0.15482629725289476,(-4.92782173+0j),(-4.94146707+0j),(-0.01364534+0j),5.273163042697021,25.594522071022134,(1.1764252872749026+1.2474016589925967e-28j),1.1683771608159401,-1.172393044168396
0.4,"[ 1.21613016  0.41664086  0.          0.          1.45391094  2.46700811
 -0.          0.        ]",8,10,,0.0023503112419105358,0.0012322427415331978,0.99923649,0.0276343,0.14653281438842133,0.15943030162860244,(-5.11790467+0j),(-5.13934012+0j),(-0.02143544+0j),5.273163042697021,26.907073849557595,(0.49425701398069677+0j),0.4912146456696406,-0.4927330678437018
0.5,"[ 1.26653624  0.37752725  0.          0.          1.38406452  2.54597045
 -0.          0.        ]",8,10,,0.0013827388738176963,0.0007520062073623813,0.99949678,0.02243387,0.1503857714956597,0.16133266930483706,(-5.20163917+0j),(-5.22070167+0j),(-0.01906251+0j),5.273163042697021,27.452610924532593,(0.19688498052821402+0j),0.19575204188959755,-0.1963175552255092
0.6000000000000001,"[ 1.29490619  0.35382167  0.          0.          1.34021464  2.594607
 -0.          0.        ]",8,10,,0.0008285492319437685,0.00046075371662774374,0.99956036,0.02096879,0.15304216549187372,0.162056310654795,(-5.23992944+0j),(-5.25280499-0j),(-0.01287555-0j),5.273163042697021,27.66884523448899,(0.07688498452759873-1.3259943994829186e-28j),0.07645971005899638,-0.07667200404638268
0.7000000000000001,"[ 1.3112537   0.33939773  0.         -0.          1.31283391  2.62457271
  0.          0.        ]",8,10,,0.0005032178476070684,0.00028360870335086775,0.99965714,0.01851737,0.15497202858123013,0.16232063519890327,(-5.25766589+0j),(-5.26528956+0j),(-0.00762368+0j),5.273163042697021,27.753083259839517,(0.02980905918851917+6.645729747677384e-29j),0.029647938167084338,-0.02972837206370068
0.8,"[ 1.3209068   0.33056326 -0.         -0.          1.29578305  2.64307615
  0.         -0.        ]",8,10,,0.00030836949921357083,0.00017519189098023718,0.99976257,0.01540907,0.15651541544866804,0.16241311041327786,(-5.26592335+0j),(-5.27012078+0j),(-0.00419744+0j),5.273163042697021,27.78570231603849,(0.01152925648372971+0j),0.011467776994640537,-0.011498469193305771
0.9,"[ 1.32671503  0.32512263 -0.         -0.          1.28517743  2.65452633
  0.         -0.        ]",8,10,,0.00019003553603813808,0.00010848264155886255,0.99984911,0.01228401,0.15780157979708173,0.16244305522886743,(-5.26977732+0j),(-5.27198765+0j),(-0.00221033+0j),5.273163042697021,27.798309859690388,(0.004456087328176039+0j),0.004432514247624798,-0.004444282731144387
1.0,"[ 1.33025447  0.32175955 -0.         -0.          1.27858362  2.66162342
  0.         -0.        ]",8,10,,,,0.99990978,0.00949835,0.1588699934646571,0.16245111348877964,(-5.27157865+0j),(-5.27270886+0j),(-0.00113021+0j),5.273163042697021,,,,
