t,params,num_params,num_time_steps,error_bound,error_grad,resid,fidelity,true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,variance,dtdt_trained,re_im_grad
0,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,0.0,,1.0,0.0,0.0,0.0,0j,0j,0j,,19.000000000000004,(19.000000000000004+0j),,
5.1581775525025824e-08,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,0.0,,1.0,0.0,2.2483974504563869e-07,2.242808052622316e-07,(-1.96e-06+0j),(-1.96e-06+0j),0j,,18.999999386201157,(18.999999386197334+0j),,
1.1605899493130809e-07,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,0.0,,1.0,0.0,5.058894211710986e-07,5.048611320786951e-07,(-4.41e-06+0j),(-4.4e-06+0j),(1e-08+0j),,18.999998616829888,(18.99999861681052+0j),,
1.8053621433759036e-07,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,0.0,,1.0,0.0,7.869390915212186e-07,7.86781960835575e-07,(-6.86e-06+0j),(-6.86e-06-0j),-0j,,18.999997835055304,(18.99999783500826-7.09204574821929e-31j),,
2.450134337438726e-07,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,0.0,,1.0,1e-08,1.0679887562615787e-06,1.0765528420325498e-06,(-9.31e-06+0j),(-9.38e-06+0j),(-7e-08+0j),,18.999996981030453,(18.999996980942377+0j),,
3.2414791748760925e-07,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,0.0,,1.0,1.3e-07,1.4129279427186066e-06,1.510818805138088e-06,(-1.232e-05+0j),(-1.315e-05+0j),(-8.3e-07+0j),,18.999995232823476,(18.999995232650683+0j),,
3.517257608314645e-07,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,0.0,,1.0,1.5e-07,1.533136962142492e-06,1.6441956040473254e-06,(-1.337e-05+0j),(-1.43e-05+0j),(-9.4e-07+0j),,18.999994785112474,(18.999994784907894+0j),,
3.7930360417531974e-07,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,0.0,,1.0,1.7e-07,1.6533459804329734e-06,1.7756694329324186e-06,(-1.441e-05+0j),(-1.545e-05+0j),(-1.03e-06+0j),,18.999994354006947,(18.999994353768383+8.176822534646367e-28j),,
4.06881447519175e-07,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,0.0,,1.0,1.8e-07,1.7735549978065509e-06,1.9069328126369215e-06,(-1.546e-05+0j),(-1.659e-05+0j),(-1.12e-06+0j),,18.99999392474944,(18.999993924474335+0j),,
5.272684691388728e-07,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,0.0,,1.0,1.6e-07,2.298309781697696e-06,2.4146666121920803e-06,(-2.004e-05+0j),(-2.103e-05+0j),(-9.9e-07+0j),,18.999992621916302,(18.999992621474156+2.2263515858405132e-27j),,
6.146492695621081e-07,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,0.0,,1.0,1.5e-07,2.6791937917564234e-06,2.785142102828918e-06,(-2.336e-05+0j),(-2.426e-05+0j),(-9.1e-07+0j),,18.99999166284009,(18.999991662251375+0j),,
6.654213404995339e-07,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,0.0,,1.0,1.2e-07,2.900504073442169e-06,2.988697388951947e-06,(-2.529e-05+0j),(-2.604e-05+0j),(-7.6e-07+0j),,18.999991211492805,(18.99999121081452+0j),,
7.161934114369597e-07,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,0.0,,1.0,1e-07,3.1218143513457305e-06,3.1915851351382536e-06,(-2.722e-05+0j),(-2.782e-05+0j),(-6e-07+0j),,18.999990767795428,(18.999990767021636+0j),,
7.2935792669522e-07,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,0.0,,1.0,9e-08,3.1791971300473516e-06,3.242125152934421e-06,(-2.772e-05+0j),(-2.826e-05-0j),(-5.4e-07-0j),,18.99999067173155,(18.99999067093298-7.480090059245393e-28j),,
7.600575404502561e-07,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,0.0,,1.0,2e-08,3.313013612484459e-06,3.302342887504817e-06,(-2.888e-05+0j),(-2.879e-05+0j),(9e-08+0j),,18.99999097840442,(18.999990977575614+0j),,
9.02545239337789e-07,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,0.0,,1.0,2e-08,3.9341029296946976e-06,3.9166936705590835e-06,(-3.43e-05+0j),(-3.414e-05-0j),(1.5e-07-0j),,18.999989331139698,(18.999989329973843-4.519000215391726e-28j),,
9.211023430280949e-07,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,0.0,,1.0,3e-08,4.014991445957519e-06,3.996037540682203e-06,(-3.5e-05+0j),(-3.484e-05-0j),(1.7e-07-0j),,18.999989122805495,(18.99998912159193-2.305269583698268e-28j),,
9.53023230847367e-07,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,0.0,,1.0,3e-08,4.154131328894266e-06,4.132912551355013e-06,(-3.621e-05+0j),(-3.603e-05-0j),(1.9e-07-0j),,18.999988760804268,(18.99998875950615-4.768453224249249e-28j),,
9.849441186666391e-07,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,0.0,,1.0,3e-08,4.293271210551217e-06,4.270687488474992e-06,(-3.743e-05+0j),(-3.723e-05+0j),(2e-07+0j),,18.99998839044418,(18.99998838905807+9.854821135429442e-28j),,
1.1445485577629997e-06,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,0.0,,1.0,1.5e-07,4.988970597525099e-06,4.886824599700697e-06,(-4.349e-05+0j),(-4.259e-05-0j),(9e-07-0j),,18.999987220362225,(18.999987218548075-2.2548469675418386e-27j),,
1.5094207231164632e-06,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,0.0,,1.0,2.3e-07,6.579410827182427e-06,6.4191802748539775e-06,(-5.736e-05+0j),(-5.594e-05+0j),(1.41e-06+0j),,18.999983388079862,(18.999983384950212+0j),,
1.747343752392546e-06,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,0.0,,1.0,3.5e-07,7.616492734636252e-06,7.37037793220511e-06,(-6.64e-05+0j),(-6.422e-05-0j),(2.18e-06-0j),,18.999981347552882,(18.99998134342913-6.799181660009754e-27j),,
1.8016350081095607e-06,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,0.0,,1.0,4e-07,7.853142699141414e-06,7.577826245652263e-06,(-6.846e-05+0j),(-6.602e-05+0j),(2.45e-06+0j),,18.99998097475141,(18.999980970393196+2.096939341341923e-26j),,
1.8559262638265754e-06,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,0.0,,1.0,4.1e-07,8.089792659820133e-06,7.802032783504602e-06,(-7.053e-05+0j),(-6.797e-05+0j),(2.56e-06+0j),,18.999980441312125,(18.999980436692397+0j),,
1.864551636750208e-06,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,0.0,,1.0,4.2e-07,8.127389766546719e-06,7.834790274877251e-06,(-7.085e-05+0j),(-6.825e-05+0j),(2.6e-06+0j),,18.999980384090254,(18.999980379431822+0j),,
1.8760361441811833e-06,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,0.0,,1.0,4.2e-07,8.177449544376042e-06,7.884686136898823e-06,(-7.129e-05+0j),(-6.869e-05+0j),(2.6e-06+0j),,18.99998024752051,(18.999980242802476+0j),,
1.990881218490936e-06,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,0.0,,1.0,4.2e-07,8.678047311546339e-06,8.383671918390736e-06,(-7.565e-05+0j),(-7.304e-05+0j),(2.61e-06+0j),,18.999978881761475,(18.999978876426557+0j),,
3.1393319615884655e-06,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,0.0,,1.0,4.4e-07,1.3684023986255448e-05,1.3374567465656976e-05,(-0.00011929+0j),(-0.00011656+0j),(2.73e-06+0j),,18.99996522604228,(18.99996521245492+0j),,
3.184193318740713e-06,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,0.0,,1.0,4.4e-07,1.387956991334321e-05,1.3569542329292015e-05,(-0.000121+0j),(-0.00011826+0j),(2.73e-06+0j),,18.999964692702004,(18.999964678715408+0j),,
3.2588056106513627e-06,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,0.0,,1.0,4.4e-07,1.4204797022622576e-05,1.3893789621261623e-05,(-0.00012383+0j),(-0.00012109-0j),(2.74e-06-0j),,18.999963805974705,(18.99996379131138-1.2821136604718454e-26j),,
3.3334179025620124e-06,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,0.0,,1.0,4.5e-07,1.4530024124574456e-05,1.421802018442739e-05,(-0.00012667+0j),(-0.00012392-0j),(2.75e-06-0j),,18.99996291943686,(18.999962904080864-2.62409348340884e-26j),,
4.079540821668509e-06,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,0.0,,1.0,5.5e-07,1.7782294720012897e-05,1.7396556816054206e-05,(-0.00015502+0j),(-0.00015162-0j),(3.4e-06-0j),,18.9999546573851,(18.999954634396016-3.210710618890879e-26j),,
4.3127042338892895e-06,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,0.0,,1.0,6.4e-07,1.8798629123947364e-05,1.8353612230100786e-05,(-0.00016388+0j),(-0.00015995+0j),(3.93e-06+0j),,18.99995241869742,(18.999952393111858+3.387176174976041e-26j),,
4.529836186544144e-06,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,0.0,,1.0,7.2e-07,1.9745084040853752e-05,1.924256493708929e-05,(-0.00017213+0j),(-0.00016769+0j),(4.44e-06+0j),,18.999950356433374,(18.999950328312078+0j),,
4.540322587216123e-06,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,0.0,,1.0,7.2e-07,1.9790793136278034e-05,1.9286194509559116e-05,(-0.00017253+0j),(-0.00016807+0j),(4.46e-06+0j),,18.999950250226807,(18.99995022197792+0j),,
4.550808987888102e-06,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,0.0,,1.0,7.3e-07,1.983650223160685e-05,1.9325406116357376e-05,(-0.00017293+0j),(-0.00016841-0j),(4.52e-06-0j),,18.99995018599469,(18.999950157631257-3.5663151381721175e-26j),,
4.565919821465222e-06,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,0.0,,1.0,7.6e-07,1.9902368733195402e-05,1.93719078941428e-05,(-0.0001735+0j),(-0.00016882+0j),(4.69e-06+0j),,18.999950188570292,(18.999950160071688+7.149605747214163e-26j),,
4.615066572836068e-06,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,0.0,,1.0,8.3e-07,2.0116594145161806e-05,1.9535265931812583e-05,(-0.00017537+0j),(-0.00017023-0j),(5.15e-06-0j),,18.99995008254786,(18.99995005357069-3.6046930361188726e-26j),,
4.633738556025144e-06,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,0.0,,1.0,8.7e-07,2.0197983313896345e-05,1.959466742883346e-05,(-0.00017608+0j),(-0.00017074+0j),(5.34e-06+0j),,18.99995006796816,(18.999950038816408+1.0846607324840547e-25j),,
