t,params,num_params,num_time_steps,error_bound,error_grad,resid,fidelity,true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,variance,dtdt_trained,re_im_grad
0,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,3.0000234583196597,,1.0,0.0,0.0,0.0,0j,0j,0j,,19.000000000000004,(19.000000000000004+0j),,
0.00022435839395129278,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,2.9996631801418876,,0.99999955,0.00111894,0.000977955511420164,0.0011394501298028724,0j,(-6e-07+0j),(-6e-07+0j),,18.999989213763254,(18.99998921376289+0j),,
0.0024679423334642205,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,2.9942033974954363,,0.99994519,0.0123079,0.010757438093620156,0.012534084903469234,0j,(-7.304e-05-0j),(-7.304e-05-0j),,18.998695234323883,(18.99869522898969-5.067860972736359e-22j),,
0.009719426261228037,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,2.975537064876264,,0.99915185,0.04844801,0.0423615296493801,0.04937031496687402,-0j,(-0.00120441-0j),(-0.00120441+0j),,18.979848588120714,(18.979847137519318-6.685813831877155e-20j),,
0.018671294233887532,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,2.8868498331433723,,0.99689156,0.09292483,0.081354618390584,0.09488441391516234,0j,(-0.0052678+0j),(-0.0052678-0j),,18.926616067088762,(18.92658831733878+0j),,
0.03090184797747686,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,2.167310794991348,,0.99166416,0.15300251,0.13455450626248663,0.15721489464596258,0j,(-0.02082898+0j),(-0.02082898+0j),,18.80717882104196,(18.8067449746063+2.3124813916797885e-18j),,
0.04620956662794248,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,0.8418114211565834,,0.98316878,0.22356191,0.20094311317912386,0.23577482275772932,0j,(-0.07635459+0j),(-0.07635459+0j),,18.633316754921964,(18.627486730871553+8.477062848014863e-18j),,
0.06313028881898874,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,0.6866516985186596,,0.97830725,0.28688643,0.27395616008873,0.3245247092832417,0j,(-0.14370407+0j),(-0.14370407+0j),,18.561156758956802,(18.540505899909718+0j),,
0.09159839328426347,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,0.6840469402602785,,0.97739542,0.39009777,0.3955402831133386,0.4808167857403292,-0j,(-0.16470816+0j),(-0.16470816+0j),,18.558186671150516,(18.531057894268933+3.6572557581080286e-17j),,
0.12277483924648955,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,0.6818773791251467,,0.97718967,0.51796572,0.5262082260456158,0.6573725362446597,0j,(-0.16713497-0j),(-0.16713497-0j),,18.560660464916037,(18.532726368062402-3.711141749051973e-17j),,
0.17566910579413353,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,0.6807380706922821,,0.97690521,0.76348786,0.7396441029773618,0.9500927108273323,0j,(-0.16714866+0j),(-0.16714866-0j),,18.56368748121004,(18.535748808016457+3.7114457279275596e-17j),,
0.24138113667484695,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,0.6980316080248995,,0.97655928,1.1279071,0.9851747239967248,1.2772683197207153,0j,(-0.16871027+0j),(-0.16871027-0j),,18.56621384619139,(18.537750689456402+0j),,
0.2749777594344001,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,0.6586029434827244,,0.97644074,1.44397741,1.1002080382981059,1.4618667350977468,0j,(-0.17717661-0j),(-0.17717661-0j),,18.57688820079249,(18.545496648123702-3.9341111332955194e-17j),,
