t,params,num_params,num_time_steps,error_bound,error_grad,resid,fidelity,true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,variance,dtdt_trained,re_im_grad
0.0,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,3.0000264544899005,,1.0,0.0,0.0,0.0,0j,0j,0j,,19.000000000000004,(19.000000000000004+0j),,
0.0,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,2.469953228242966,,0.25,1.0,0.0,0.9999999999999999,0j,(2+0j),(2+0j),,17.0,(13+0j),,
0.0,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,1.3867441082458423,,0.25,1.0,0.0,0.9999999999999999,0j,(2+0j),(2+0j),,17.0,(13+0j),,
0.0,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,nan,,0.25,1.0,0.0,0.9999999999999999,0j,(2+0j),(2+0j),,17.0,(13+0j),,
0.0,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,1.440592656841072,,0.25,1.0,0.0,0.9999999999999999,0j,(2+0j),(2+0j),,17.0,(13+0j),,
0.0,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,0.00013459000677634885,,0.25,1.0,0.0,0.9999999999999999,0j,(2+0j),(2+0j),,17.0,(13+0j),,
0.0,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,2.037945090573911,,0.25,1.0,0.0,0.9999999999999999,0j,(2+0j),(2+0j),,17.0,(13+0j),,
0.0,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,1.2848825597726272,,0.25,1.0,0.0,0.9999999999999999,0j,(2+0j),(2+0j),,17.0,(13+0j),,
0.8999999999999999,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,(1.8345295078550135+2.5888819049779957e-17j),,0.19774006,1.41687299,1.3394506250766085,0.9999999999999999,0j,(2+0j),(2-0j),,17.0,(13+0j),,
0.8999999999999999,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,2.3379053368609886,,0.28192135,1.4271666,1.3394506250766085,1.030942760805414,0j,(-2.37543412+0j),(-2.37543412+0j),,18.64543310917791,(13.00274583788821+1.0549046626009237e-15j),,
0.9999999999999999,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,10,,1.5290210387241205,,0.18230716,1.11376085,1.1137608457731263,0.0,-0j,0j,(-0+0j),,19.000000000000004,(19.000000000000004+0j),,
