eps_t,dt,opt_factor,grad_factor,energy_factor,stddev,|norm(H)|
0.0,0.0001,0.0,2.25,0.0,2.90473751,3.0
0.00075219,0.0001,0.00152116,2.24999995,0.00437139,2.90491174,3.0
0.00262731,0.0001,0.00360713,2.24999963,0.01528127,2.90520188,3.0
0.00989937,0.0001,0.0110021,2.24999643,0.05775904,2.90618054,3.0
0.04279421,0.0001,0.04395183,2.24994635,0.25318956,2.91027842,3.0
0.14454128,0.0001,0.14573517,2.24945661,0.89091923,2.92187186,3.0
0.52790698,0.0001,0.5291765,2.24414577,3.70169986,2.95523921,3.0
1.00703473,0.0001,1.00833145,2.23276075,7.88275159,2.98052521,3.0
1.40476103,0.0001,1.40600457,2.22104859,11.49294332,2.99238913,3.0
1.41421356,0.0001,1.41505022,2.20621748,11.83567246,2.99887464,3.0
1.41421356,0.0001,1.41507715,2.17975091,12.21672888,2.99796809,3.0
1.41421356,0.0001,1.41522171,1.87175498,14.26372722,2.54751854,3.0
1.41421356,0.0001,1.41522877,1.84212283,14.36517476,2.44694901,3.0
1.41421356,0.0001,1.41523118,1.83045813,14.39937317,2.4009382,3.0
1.41421356,0.0001,1.41523177,1.82739718,14.40766679,2.38817915,3.0
1.41421356,0.0001,1.41523211,1.8258204,14.41181748,2.38149148,3.0
1.41421356,0.0001,1.41523275,1.9e-07,14.42191748,2.36423915,3.0
1.41421356,0.0001,1.41523338,4e-08,14.4307605,2.34777831,3.0
1.41421356,0.0001,1.41523707,0.0,14.48189953,2.18036036,3.0
1.41421356,0.0001,1.41521996,1e-07,14.23940045,1.55288116,3.0
