eps_t,dt,opt_factor,grad_factor,energy_factor,stddev,|norm(H)|
0.0,0.0001,0.0,2.25,0.0,2.90473751,3.0
0.1125,0.0001,0.1137095,2.24094912,0.70076535,2.97304166,3.0
0.86433608,0.0001,0.86567508,2.21629607,6.90906906,2.99997667,3.0
1.41421356,0.0001,1.41511435,2.18252565,12.74345253,2.97344439,3.0
1.41421356,0.0001,1.41515945,2.14768187,13.38189917,2.89152584,3.0
1.41421356,0.0001,1.4151928,2.11764081,13.85412777,2.76636587,3.0
1.41421356,0.0001,1.41521448,2.09381451,14.16189125,2.62053376,3.0
1.41421356,0.0001,1.41522699,2.07387907,14.33854398,2.47743718,3.0
1.41421356,0.0001,1.41523329,0.0,14.42820216,2.35268853,3.0
1.41421356,0.0001,1.41523144,0.0,14.40223024,1.80448673,3.0
1.41421356,0.0001,1.41520708,8e-08,14.05823052,1.35005966,3.0
