eps_t,dt,opt_factor,grad_factor,energy_factor,stddev,|norm(H)|
0.0,0.0001,0,0.0,0,0.0,3.0
0.0,0.0001,0,0.0,0,0.0,3.0
0.0,0.0001,0,0.0,0,0.0,3.0
0.0,0.0001,0,0.0,0,0.0,3.0
0.0,0.0001,0,0.0,0,0.0,3.0
0.0,0.0001,0,0.0,0,0.0,3.0
0.0,0.0001,0,0.0,0,0.0,3.0
0.0,0.0001,0,0.0,0,0.0,3.0
0.0,0.0001,0.0,3.0,0.0,3.0,3.0
0.0,0.0001,0.0,3.0,0.0,3.0,3.0
0.00086841,0.0001,0.00168464,3.0,0.0052127,3.0,3.0
0.00274523,0.0001,0.00375852,3.0,0.016494,3.0,3.0
0.01115605,0.0001,0.01230015,3.0,0.06730861,3.0,3.0
