t,params,num_params,num_time_steps,error_bound,error_bound_factor,error_grad,resid,fidelity,true_error,phase_agnostic_true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,variance,dtdt_trained,re_im_grad
0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],12,10,,,0.0,1.7156767307079107e-15,1.0,0.0,1e-06,,,-0.0,-0.0,0.0,,9.0,9.0,8.999999999999995,-8.999999999999998
9.999999999999999e-05,"[-1.5e-04  0.0e+00  3.0e-08 -1.5e-04 -1.5e-04 -1.5e-04 -1.5e-04  1.5e-04
 -1.5e-04  1.5e-04  1.0e-08  0.0e+00]",12,10,,,0.00044999990216651334,4.772969356278978e-08,1.0,2e-08,1e-06,,,-0.0018,-0.0018,0.0,,9.000000000000004,8.99999676000083,8.999996557500948,-8.999996557500932
0.0011,"[-1.64998e-03  0.00000e+00  4.08000e-06 -1.64998e-03 -1.64999e-03
 -1.64999e-03 -1.64999e-03  1.64999e-03 -1.64999e-03  1.64999e-03
  1.36000e-06  0.00000e+00]",12,10,,,0.0049498787146637,5.775081722778338e-06,1.0,2.72e-06,2.9e-06,,,-0.01979971,-0.01979969,2e-08,,9.000000000000005,8.999607972096074,8.99958347079678,-8.999583470796782
0.0111,"[-1.663387e-02  1.500000e-07  4.152700e-04 -1.663387e-02 -1.663617e-02
 -1.663847e-02 -1.663540e-02  1.663694e-02 -1.663924e-02  1.664001e-02
  1.384100e-04  2.000000e-08]",12,10,,,0.04982566464845927,0.0005858766988007402,0.99999992,0.0002767,0.0002767,,,-0.19950511,-0.19948674,1.838e-05,,8.999999999999996,8.960205040717597,8.95772244385993,-8.957722443859932
0.06296636389387725,"[-9.162730e-02  1.355000e-04  1.282187e-02 -9.162981e-02 -9.201112e-02
 -9.241690e-02 -9.189024e-02  9.217275e-02 -9.254740e-02  9.266260e-02
  4.261050e-03  1.547000e-05]",12,10,,,0.2621988421534585,0.016842254781143342,0.99992926,0.0084109,0.0084109,,,-1.08238137,-1.07947825,0.00290311,,9.000000000000002,7.834726699823123,7.7659784669965015,-7.765978466996505
0.06958378752423264,"[-1.0060265e-01  1.9700000e-04  1.5515930e-02 -1.0060666e-01
 -1.0111012e-01 -1.0165304e-01 -1.0095244e-01  1.0133350e-01
 -1.0182683e-01  1.0197546e-01  5.1529000e-03  2.1840000e-05]",12,10,,,0.2850245832200654,0.020067034550920453,0.99989712,0.01014309,0.01014309,,,-1.18447359,-1.18067859,0.003795,,9.0,7.6059980648999135,7.52475905186014,-7.524759051860141
0.07289885412835521,"[-1.0503173e-01  2.3411000e-04  1.6946580e-02 -1.0503672e-01
 -1.0560884e-01 -1.0623019e-01 -1.0543086e-01  1.0586878e-01
 -1.0642867e-01  1.0659544e-01  5.6259900e-03  2.5550000e-05]",12,10,,,0.2959986070600026,0.02173734320779807,0.99987772,0.01105797,0.01105797,,,-1.23444384,-1.23015383,0.00429001,,9.0,7.486721562860153,7.399106387478688,-7.39910638747869
0.07475722055074,"[-1.0749425e-01  2.5688000e-04  1.7771350e-02 -1.0749986e-01
 -1.0811266e-01 -1.0878091e-01 -1.0792277e-01  1.0839486e-01
 -1.0899415e-01  1.0917145e-01  5.8985600e-03  2.7780000e-05]",12,10,,,0.30201282483393566,0.022687181148591,0.99986582,0.01158384,0.01158384,,,-1.26210264,-1.25752139,0.00458125,,9.0,7.418639962007907,7.327428215643736,-7.327428215643735
0.07661558697312477,"[-0.10996176 -0.00039295  0.01859918 -0.1099677  -0.11061256 -0.11127249
 -0.11045115  0.11327827 -0.11153867  0.10938769  0.00619179  0.00018721]",12,10,,,0.0,1.5660893528371182e-15,0.99985937,0.01185882,0.01185882,,,-1.28950317,-1.28478143,0.00472174,,9.000000000000004,7.34933667833317,7.349336678333175,-7.349336678333172
0.07830417104394446,"[-0.11221224 -0.00172261  0.0193508  -0.11221592 -0.11288687 -0.11347463
 -0.11278806  0.12013905 -0.11382478  0.10716697  0.00648017  0.00051226]",12,10,,,4.2146848510894035e-08,1.6932145801641305e-15,0.99985997,0.01183362,0.01183362,,,-1.31417379,-1.30949331,0.00468048,,8.999999999999995,7.285227279545905,7.285227279545899,-7.285227279545901
0.09519001175214137,"[-0.13402741 -0.01608502  0.0274918  -0.13384929 -0.13527098 -0.13490738
 -0.13535561  0.18240193 -0.13582124  0.09056516  0.00964995  0.00441227]",12,10,,,0.0,1.0701937277052824e-15,0.99986565,0.01159114,0.01159114,,,-1.54858818,-1.54433893,0.00424925,,8.999999999999996,6.615017267855137,6.615017267855143,-6.615017267855141
0.1484760854189493,"[-0.19383636 -0.06378337  0.05835494 -0.19135517 -0.1996462  -0.19521405
 -0.19621352  0.32915657 -0.19579221  0.07693576  0.0219614   0.01888259]",12,10,,,0.0,9.20888214042459e-16,0.99987991,0.01095881,0.01095881,,,-2.13544957,-2.13259284,0.00285673,,9.000000000000002,4.452047799940724,4.452047799940727,-4.452047799940726
0.2330186790002275,"[-0.26013727 -0.12136363  0.11053132 -0.25124626 -0.27687839 -0.26807316
 -0.26249788  0.47470874 -0.26722239  0.10007677  0.04194332  0.03648451]",12,10,,,6.322027276634104e-08,4.152736065189823e-16,0.99989256,0.01036561,0.01036561,,,-2.65482866,-2.65357445,0.0012542,,8.999999999999995,1.9585426286896546,1.9585426286896532,-1.9585426286896532
